Id,RawCoord1,RawCoord2,RawCoord3,RawCoord4,RawCoord5,RawCoord6,RawCoord7,RawCoord8,RawCoord9,RawCoord10,RawCoord11,RawCoord12,RawCoord13,RawCoord14,RawCoord15,RawCoord16,RawCoord17,RawCoord18,RawCoord19,RawCoord20,RawCoord21,RawCoord22,RawCoord23,RawCoord24,RawCoord25,RawCoord26,RawCoord27,RawCoord28,RawCoord29,RawCoord30,RawCoord31,RawCoord32,RawCoord33,RawCoord34,RawCoord35,RawCoord36,RawCoord37,RawCoord38,RawCoord39,RawCoord40,RawCoord41,RawCoord42,RawCoord43,RawCoord44,RawCoord45,RawCoord46,RawCoord47,RawCoord48,RawCoord49,RawCoord50,RawCoord51,RawCoord52,RawCoord53,RawCoord54,RawCoord55,RawCoord56,RawCoord57,RawCoord58,RawCoord59,RawCoord60,RawCoord61,RawCoord62,RawCoord63,RawCoord64,RawCoord65,RawCoord66,RawCoord67,RawCoord68,RawCoord69,RawCoord70,RawCoord71,RawCoord72,RawCoord73,RawCoord74,RawCoord75,RawCoord76,RawCoord77,RawCoord78,RawCoord79,RawCoord80,RawCoord81,RawCoord82,RawCoord83,RawCoord84,RawCoord85,RawCoord86,RawCoord87,RawCoord88,RawCoord89,RawCoord90,RawCoord91,RawCoord92,RawCoord93,RawCoord94,RawCoord95,RawCoord96,RawCoord97,RawCoord98,RawCoord99,RawCoord100,RawCoord101,RawCoord102,RawCoord103,RawCoord104,RawCoord105,RawCoord106,RawCoord107,RawCoord108,RawCoord109,RawCoord110,RawCoord111,RawCoord112,RawCoord113,RawCoord114,RawCoord115,RawCoord116,RawCoord117,RawCoord118,RawCoord119,RawCoord120,RawCoord121,RawCoord122,RawCoord123,RawCoord124,RawCoord125,RawCoord126,RawCoord127,RawCoord128,RawCoord129,RawCoord130,RawCoord131,RawCoord132,RawCoord133,RawCoord134,RawCoord135,RawCoord136,RawCoord137,RawCoord138,RawCoord139,RawCoord140,RawCoord141,RawCoord142,RawCoord143,RawCoord144,RawCoord145,RawCoord146,RawCoord147,RawCoord148,RawCoord149,RawCoord150,RawCoord151,RawCoord152,RawCoord153,RawCoord154,RawCoord155,RawCoord156,RawCoord157,RawCoord158,RawCoord159,RawCoord160,RawCoord161,RawCoord162,RawCoord163,RawCoord164,RawCoord165,RawCoord166,RawCoord167,RawCoord168,RawCoord169,RawCoord170,RawCoord171,RawCoord172,RawCoord173,RawCoord174,RawCoord175,RawCoord176,RawCoord177,RawCoord178,RawCoord179,RawCoord180,RawCoord181,RawCoord182,RawCoord183
Acontias_meleagris,9104.3613,14396.244,7085.9746,9740.752,13144.822,6818.917,9552.1953,11456.001,7046.8633,10154.006,8962.6699,7415.7793,9670.6797,9419.8564,8183.7388,9596.8838,9193.293,8297.8594,9495.9941,8161.5156,7473.6626,9572.248,8268.7754,7827.8711,9398.4414,5520.3633,7806.54,8602.6563,14337.434,7075.231,7986.7607,13083.402,6798.7852,8155.5029,11476.089,6982.3784,7505.9854,9016.0645,7423.1196,7935.2378,9435.2188,8162.5811,8024.8975,9189.8984,8324.2637,8200.8535,8122.6318,7508.063,8070.7397,8276.4648,7761.6709,8237.5527,5579.7886,7735.1289,8303.165,8446.7832,6342.0806,7828.3394,8393.1094,6749.5459,8311.3125,8127.8535,6695.1948,8582.3623,8213.8535,6761.1646,8978.1152,8214.2744,6781.7988,9294.9102,8100.8501,6718.0508,9414.6025,8454.0264,6296.7617,9906.0967,8428.71,6742.6914,8633.9805,7790.3291,7097.9858,8967.3545,7800.1016,7109.8242,8877.123,6365.7144,9344.333,8829.123,7032.2593,7578.0732,8896.9209,7028.5088,7583.5156,8762.2373,7031.2813,7589.1563,9063.1582,7102.7183,7778.48,8611.4053,7084.0317,7766.4717,9154.416,7188.3433,7899.8955,8488.4814,7164.9932,7891.9355,9257.4375,7291.8042,8050.2451,8388.6309,7280.4199,8049.9316,9364.7832,7363.6382,8190.0166,8291.2285,7368.8179,8169.9702,8815.7275,6940.5254,7863.1602,8811.7861,7037.438,7825.0781,8847.5068,10734.312,8102.8696,8807.3838,8782.8213,8960.6523,8788.3369,8584.9111,8592.1416,8838.8291,7477.5161,9535.0303,8818.2617,5434.5811,8277.2314,8884.5381,7280.188,7899.2588,8744.2129,7280.6421,7876.3379,8992.6895,7057.8975,7675.0522,8693.9541,7065.3281,7659.9712,8990.6084,7511.7266,7378.7798,8696.4795,7511.2573,7362.3467,8831.7979,10042.607,8551.9922,8854.9473,9084.2246,9060.6885,9884.752,7317.8247,9160.375,7752,7284.5869,9036.1006,9227.4453,7992.8574,7210.3408,8428.7617,7979.2119,7173.3193,8807.9346,5691.1338,7332.875,8827.9453,8613.6523,7609.0181
Anguis_fragilis,9153.7451,15859.962,7757.4199,9650.3828,14878.521,7238.293,9623.4375,12693.443,7173.668,10462.162,10799.903,6849.8486,9994.168,10054.95,8304.6201,9894.5039,9210.626,8197.1699,10142.674,8335.6035,7347.2817,9997.1445,8325.6016,7734.1392,9557.4385,4705.958,7689.3438,8574.6455,15867.612,7746.1152,8100.1895,14887.905,7268.9956,8020.7881,12659.794,7199.4658,7178.3052,10768.534,7080.2656,7654.5947,10111.751,8273.082,7749.8872,9270.5225,8236.9609,7505.2544,8347.3662,7435.7227,7689.9438,8353.7949,7814.3618,8150.2109,4739.8042,7627.4258,8150.333,9575.1758,5859.6943,7556.9224,9014.7314,7554.4688,8025.5542,8908.499,6568.8032,8579.1973,9110.0566,6478.3052,9172.3984,9088.0029,6438.4331,9717.6484,8906.3691,6652.4375,9541.958,9632.5771,5865.4092,10092.777,8976.4307,7436.688,8248.8145,8058.5718,6491.4233,9526.3115,8137.7031,6498.0034,8908.3828,5471.728,9223.9121,8793.7305,7058.5996,6852.4429,9038.3496,7060.6128,6864.8608,8556.8799,7062.8921,6864.1226,9525.7275,7012.7725,7136.2847,8125.7007,7029.2349,7173.5342,9638.1035,6986.897,7407.8276,8036.8086,7029.4297,7427.3291,9598.4502,7080.8828,7714.5566,8089.5352,7045.8379,7770.3965,9695.8096,7064.4009,7992.2104,8045.9492,7001.749,8026.7852,8828.1475,6807.9043,7468.4414,8828.5635,7149.8408,7445.1895,8828.0039,10833.478,8345.3877,8848.2754,8997.2441,9558.0117,8813.7871,8494.4512,8640.3584,8916.543,6881.7993,9583.8584,8838.1318,4557.7222,8176.3623,9148.5293,7276.6274,7468.6406,8536.9277,7269.0596,7481.3916,9290.666,7032.4844,6955.083,8319.4375,7057.4702,6969.1841,9476.7852,7448.2778,7146.0933,8259.2871,7442.4736,7110.7568,8828.7256,10609.519,8638.1797,8851.4023,9135.5186,9618.2891,10024.623,6975.1831,8554.2139,7637.5957,6963.5342,8592.8066,9910.1895,8661.8242,6930.5981,7785.0723,8599.041,6785.3267,8842.5488,4670.6519,7132.5977,8826.7266,8897.5313,7172.7217
Basiliscus_vittatus,9548.5986,20320.557,8417.543,10011.307,19566.678,7953.1846,9426.3672,14149.101,5680.8062,11744.943,12352.659,4862.209,11081.47,11035.124,7917.8252,11097.382,9986.9326,8764.4326,11754.885,8342.3232,7123.0054,11229.843,9342.958,8872.9756,9853.2451,3653.7334,9102.5469,8219.7441,20338.666,8372.9375,7642.5474,19679.748,8185.1133,8308.791,14211.433,5615.6826,5945.5288,12248.59,4884.1719,6611.5879,10995.502,7792.373,6764.4707,10196.742,8881.5869,5937.9023,8283.1367,7001.0376,6476.0713,9647.0537,8788.3477,7667.5952,3740.1614,9054.21,7589.0796,10224.135,4030.4399,6378.3286,9389.1514,5792.9756,7731.1816,8535.9004,5058.5093,8354.6426,8650.8154,5152.3228,9334.3799,8645.7715,5209.5464,9776.8682,8466.3838,5114.104,10182.134,10292.688,4058.5625,11475.809,9517.8418,6077.9912,7497.8477,8061.4072,5196.0405,10035.777,8022.7124,5284.3535,8783.542,4948.3975,11429.529,8844.9492,6709.4521,6036.2471,9371.5273,6635.3003,6088.1318,8368.2607,6695.7725,6055.9053,10262.802,6435.0044,7054.4541,7407.2271,6472.7847,7093.2407,10662.521,6497.8027,8228.7334,6999.7451,6539.2109,8142.1953,10547.336,6506.0801,8764.6572,7148.1113,6566.2583,8852.6709,10542.851,6658.1353,9159.3398,7157.665,6639.4067,9174.9248,8767.9209,4943.5273,7898.7544,8863.3652,6196.6904,8128.7764,8815.6201,12374.561,7674.1777,8811.7305,9389.3184,10904.67,8821.71,8780.0703,10348.245,8847.2813,6808.7979,11601.545,8749.0586,3445.3826,10108.222,9202.8564,6418.8887,7929.3315,8608.375,6361.3521,7911.9258,9812.7949,6506.3394,6346.5977,7882.5996,6552.8638,6336.3154,9978.4951,6601.5835,7638.9736,7632.7598,6594.6543,7634.8599,8810.0439,12042.258,8907.3271,8805.3691,9909.8584,11027.716,10940.478,6877.8413,10159.866,6634.8633,6797.5859,10180.08,11245.598,8829.415,5684.4238,6431.7842,8761.0967,5585.7568,8832.1201,3830.7583,8242.2617,8867.4541,9169.502,6934.9888
Blanus_cinereus,9002.0557,12508.979,6868.9619,9499.7061,11957.833,6868.3428,9480.7441,11073.935,7099.6768,9887.6035,9420.8906,7425.2529,9366.5566,9487.9209,8310.0791,9373.4971,9172.6641,8295.4795,9356.3242,8507.3447,7271.856,9392.2637,8711.9678,7817.1738,9296.8398,7145.7393,7725.9473,8804.752,12496.666,6877.2168,8305.623,11919.902,6796.9023,8294.1914,11017.809,7059.6943,7777.6396,9381.5811,7414.5566,8089.7524,9518.2637,8114.0771,8182.7544,9202.7813,8179.624,8412.1113,8455.0967,7174.8281,8279.6406,8678.5801,7660.2993,8395.1934,7148.854,7660.5376,8666.6826,9007.3965,6786.75,8235.5898,8649.54,7210.5449,8302.9961,8614.3359,7078.0205,8760.7881,8788.2314,6948.3701,9029.5166,8787.2285,6981.5234,9479.7217,8629.8301,7210.1997,9173.7061,9005.0928,6839.1523,9504.2891,8670.542,7385.4873,8774.5596,8414.127,6991.3965,9004.7471,8419.7764,7020.5278,8709.3994,7780.4297,8655.4238,8819.0361,8051.7119,7717.3042,8878.7861,8056.5063,7727.5186,8765.7109,8055.9551,7719.9805,9004.4785,8124.8916,7803.7637,8616.6934,8125.3369,7760.3979,9058.1152,8157.6074,7843.8247,8548.0869,8158.4756,7799.3525,9112.7852,8217.6973,7906.9482,8494.4824,8212.21,7845.3325,9154.4932,8272.1309,7975.3472,8444.5605,8270.0957,7907.9365,8810.2051,8128.1445,7824.3374,8815.3965,8171.457,7750.9438,8749.7393,10105.389,8115.1968,8745.873,8948.832,8522.7402,8801.3369,8930.1299,8216.332,8715.9033,8493.8057,8718.3496,8826.9688,7130.5239,8069.2476,8876.917,8003.8594,7551.814,8786.2295,8003.1875,7547.8975,8948.7754,8082.6768,7757.2744,8695.2441,8077.8037,7733.1865,8958.5781,8032.0815,7425.0684,8720.0332,8015.7671,7399.2891,8736.6143,9948.9814,8212.207,8733.9453,9165.9287,8542.9443,9552.9072,8315.1719,8568.8662,7924.6377,8304.2871,8423.7461,9339.4873,8504.8193,7174.8774,8443.9082,8484.001,7089.7305,8848.6709,7141.2334,7395.5083,8869.7568,8990.7295,7305.2461
Bradypodion_pumilum,8965.5,12925.424,7154.6777,9114.8848,12735.859,7137.2554,9143.9092,12485.304,7158.7554,10639.228,11049.19,6687.5981,10138.117,10569.065,8016.2563,10089.54,9964.1045,8221.751,10461.2,9271.9346,7644.0332,10167.746,9446.0127,8313.8633,9385.1387,6368.7012,7378.2842,8772.1816,12953.249,7171.0879,8629.1094,12789.169,7219.8506,8602.5078,12562.689,7192.5322,7041.2603,11022.396,6647.3701,7568.2285,10609.966,8069.5513,7599.3687,9944.5742,8357.8682,7251.21,9202.6211,7570.0317,7510.7754,9482.9951,8316.4854,8246.8857,6350.0054,7474.0029,8348.501,10115.069,5522.2778,7898.2695,9718.6152,6270.6489,8177.6094,9701.7227,6102.8906,8589.6924,9697.584,6222.1987,8914.2129,9597.2373,6073.0239,9426.7588,9518.6338,6066.7383,9327.6553,9896.0371,5517.6235,9730.7939,9538.002,6328.9644,8167.7217,8895.3926,6306.6724,9625.8223,8848.3945,6374.7021,8829.0615,7076.7974,9639.0029,8875.2021,8264.2305,6589.21,9049.9834,8296.4004,6599.8066,8661.4209,8297.7432,6566.46,9606.8809,8111.7451,7116.3354,8136.9473,8184.6147,6978.1313,9922.293,8183.3564,7899.5317,7713.7031,8272.208,7832.2446,9624.9814,8285.207,8479.6162,7921.9531,8321.7441,8403.7305,9608.5146,8225.5449,8568.752,7915.5073,8281.9199,8581.7344,8824.1396,7837.3887,7815.5352,8857.2207,8291.0098,8337.791,8900.2178,11131.376,8087.1309,8808.1924,9572.083,9263.0938,8791.3789,9397.9102,8842.5391,8871.9736,8646.8418,9781.5869,8832.0557,6317.5747,7993.0918,8975.1729,8313.3789,8130.7139,8744.1309,8322.2842,8116.7256,9457.3965,8212.252,6798.8398,8332.5693,8253.9424,6723.2212,9269.8984,8272.498,7682.7427,8166.6094,8248.9756,7567.9131,8885.5469,10697.407,8786.0596,8851.2461,10066.054,9440.3994,9997.3428,8135.4087,9194.6592,7628.2036,8211.2539,9130.9463,10034.094,9414.1563,6641.6836,7650.375,9616.2617,6637.604,8841.1367,6543.4019,7088.3442,8835.0439,9738.4365,7173.5107
Chalcides_chalcides,9156.9551,15735.426,7971.2393,9708.8301,14787.366,7573.5933,9467.3281,12489.404,7154.0503,10508.9,10512.907,7232.751,9925.2891,10502.537,8602.9043,9882.2266,10051.081,8775.0205,10433.83,9008.6592,7547.7471,10214.729,9410.9658,8243.168,9439.5947,5585.1265,7845.8125,8610.4619,15744.286,7996.146,8014.9316,14894.502,7595.8799,8251.5674,12508.026,7137.1094,7183.6201,10573.769,7218.085,7767.3633,10592.424,8572.3662,7742.5244,10004.083,8744.0332,7236.3091,9059.9717,7619.5293,7484.063,9476.8652,8131.1685,8154.3691,5653.4536,7847.2378,8203.3721,9588.416,6288.4224,7458.0991,9280.959,6908.332,8172.5098,9031.7988,6630.4316,8501.8525,9116.7734,6591.7798,9137.1416,9098.5693,6576.2563,9559.585,9004.083,6652.0889,9552.3262,9492.2695,6306.2051,10278.191,9255.127,7034.1123,8117.2397,8492.6113,6682.8501,9576.4307,8494.0371,6657.9077,8829.4082,6469.2212,9505.2168,8826.209,7650.0259,7073.3057,9057.1572,7722.0459,7080.458,8597.4688,7686.0913,7061.1719,9342.4922,7797.7524,7412.4102,8294.0547,7834.8643,7425.4063,9330.7188,7793.7275,7596.2671,8300.1758,7821.3872,7604.1592,9527.4023,7755.2856,8157.8271,8094.4326,7720.1973,8196.2227,9601.7676,7870.1636,8297.1055,8025.0898,7843.0957,8312.542,8811.4932,7234.9502,7794.2783,8820.6162,7600.1392,7803.6226,8851.6318,11210.689,8306.5547,8820.2539,9574.3975,9594.0381,8835.7471,9275.6934,9038.7061,8802.9531,7818.1929,9812.6328,8811.75,5578.708,8474.9434,9098.1211,7823.8647,7846.0547,8529.5645,7826.4409,7834.4189,9255.0869,7742.8921,7164.3037,8389.124,7756.3521,7175.6484,9388.3936,7910.0488,7222.4927,8222.1787,7906.605,7336.4243,8830.5195,10883.719,8768.5518,8831.2813,9876.6797,9661.0713,9983.8496,7896.6812,8927.9043,7658.6597,7783.9512,8949.0264,10232.742,8897.2334,7006.439,7549.2148,8921.2158,6894.5,8791.4229,5555.2808,7277.1768,8839.6494,9428.6094,7529.5635
Bachia_flavescens,9093.6709,14720.356,7235.7158,9538.1611,13839.855,7026.623,9439.5752,12032.785,6882.3877,10156.735,10123.849,7163.0767,9791.9824,10160.531,8018.3418,9791.5996,9795.3896,8095.207,10083.438,8676.0996,7435.5537,9784.0898,8937.2061,8307.5352,9536.1221,5556.2241,8046.2754,8652.4336,14705.25,7220.4336,8232.7559,13871.268,7043.293,8266.9648,12035.97,6746.5708,7564.8057,10092.6,7087.3081,7926.4097,10236.129,8028.5713,7836.0552,9800.3701,8088.4248,7546.7979,8569.8789,7473.8896,7737.5957,8851.9844,8148.2207,8070.8604,5550.2056,8031.7329,8205.1123,9476.4941,6346.8911,7931.2939,9454.7295,6698.1328,8430.2588,9247.9961,6656.1982,8629.7012,9301.7627,6634.4238,8972.6455,9294.0762,6613.7803,9155.751,9212.0801,6660.938,9434.1484,9384.042,6347.5073,9843.2656,9430.5361,6701.8032,8140.9478,8379.0156,6694.4834,9350.3906,8332.9297,6689.3892,8763.5371,6573.7314,9473.2715,8790.8438,7418.6016,7227.0093,8939.5742,7435.4136,7232.5815,8639.9551,7420.9443,7217.2227,9378.9551,7535.9458,7515.2397,8186.8555,7535.5249,7519.3467,9352.6885,7655.1475,7773.9878,8203.1152,7610.6328,7722.8413,9366.4844,7726.7144,7916.4512,8194.0547,7686.2402,7883.9941,9390.8525,7744.3042,8045.4585,8152.5918,7692.7329,8021.3789,8783.6084,7346.5186,7672.8628,8776.7246,7614.8164,7548.6152,8849.8799,11009.57,7868.6455,8756.6611,9386.4961,8983.418,8754.4395,9140.7188,8835.7949,8728.415,7658.1445,9488.7627,8821.3105,5596.1245,8634.8799,8986.9316,7841.3574,7670.8872,8616.0898,7844.2158,7689.7148,9226.2813,7393.9131,7352.3838,8346.7637,7410.9312,7334.5601,9438.0264,7866.7456,7219.8071,8244.1318,7871.0879,7182.7046,8808.6074,10804.648,8340.6143,8814.4648,9705.7607,9077.4902,9874.6523,7997.2456,8684.2568,7736.2427,8035.8115,8683.5156,9717.9092,9059.9551,6888.8516,7838.2461,9075.1621,6941.9375,8763.7803,5501.3506,7447.0752,8812.4502,9389.5977,7173.2378
Trioceros_jacksonii,8634.1396,21634.145,10124.43,8772.5449,21300.818,9841.8848,9531.3154,14159.63,6744.3755,11939.014,11836.127,6400.1714,10940.815,11083.51,8074.6064,10676.266,10724.794,8522.4023,11434.8,10239.535,7371.561,11000.118,9853.1172,8536.8545,9531.8477,4725.7524,7893.3667,8487.9365,21625.068,10120.142,8407.2676,21320.471,9828.543,8237.7227,14203.35,6746.002,5933.292,11911.655,6274.1563,6835.125,11220.088,8075.8652,7074.1362,10982.195,8467.9619,6412.0273,10220.096,7353.6729,6724.4829,9960.5293,8538.2227,7806.4844,4958.8135,7731.1416,7624.9248,11585.979,4880.4463,6451.6475,10686.204,7397.0308,7913.0342,10143.426,5879.3604,8539.8789,10469.304,5981.8613,9612.3115,10252.838,5958.915,10409.193,10189.385,5876.3652,10518.792,11554.417,4929.4033,11428.695,10659.969,7538.8335,7513.3506,9423.8145,5771.7202,10532.845,9400.3857,5841.7148,8725.1445,5741.0864,10211.001,8975.958,9624.4336,5842.644,9195.2871,9579.7119,5886.0723,8799.0889,9592.9092,5820.2773,9981.7539,8473.1543,6377.2417,7932.6367,8507.4668,6364.4399,10276.643,7840.2192,7234.2876,7418.022,8006.5396,6897.2139,9980.7725,7807.8652,8444.6875,7501.6826,7786.5703,8425.918,10204.305,7755.4185,9054.4746,7256.2397,7745.9639,9036.2871,8773.0645,7182.4492,7491.6772,8779.0723,8087.6323,7507.8867,8888.9619,12307.394,7946.2446,8759.1211,10197.711,10280.565,8755.1289,9621.5615,10176.159,8750.9346,8330.8955,10756.057,8645.4844,4298.8779,8360.8047,9235.376,7934.2769,8085.958,8317.7236,7976.3486,8084.1899,9479.8438,9346.2686,5977.2627,8315.5801,9308.374,5874.2715,10328.287,8337.9434,6744.4565,7458.7656,8374.5752,6685.875,8754.2793,11336.143,9440.6602,8746.208,10732.852,10248.205,10366.801,7543.9106,9640.7197,6978.0576,7680.2397,9590.2148,10961.852,10158.269,6170.0771,7067.1348,10149.786,6043.501,8716.7598,5026.2227,7122.1758,8936.123,10166.104,7351.9868
Dasia_olivacea,9077.4463,19470.494,7031.9189,9879.21,18207.385,6769.4487,9492.4805,13014.216,6090.4951,11400.254,10636.181,5821.1328,10454.494,10167.409,8187.0303,10216.967,9215.2529,8388.4883,10853.646,8085.5581,6791.1855,10572.04,8130.0308,8417.1992,9921.4893,3571.2568,8777.2783,8289.334,19416.91,6960.4697,7607.1899,18234.717,6758.1733,8033.3428,12983.793,6062.4517,6249.5137,10601.466,5733.5029,7268.1543,10067.854,8074.6787,7396.7539,9004.8086,8366.709,6778.4297,8259.708,6867.5039,7102.6758,8156.7139,8291.4727,7869.856,3605.1653,8778.4102,7995.1099,9229.0977,5239.3008,6892.2939,8698.7373,6218.29,7802.4888,8333.1201,5836.4297,8433.5664,8494.3604,6052.8799,9226.9121,8534.1123,6004.5781,9928.6309,8429.5205,5978.604,9753.4951,9324.251,5273.0215,10781.523,8784.7373,6324.4941,7629.7773,7711.9492,6144.7715,10142.355,7722.2471,6198.0513,8868.791,4749.1924,10397.684,8918.1836,6566.2393,6894.5044,9267.6855,6500.6704,6880.4941,8530.041,6501.5825,6862.3887,9796.5371,6218.1079,7474.7539,7927.3223,6206.1836,7552.5366,9913.7646,6334.3862,7948.1206,7854.5732,6285.5439,7952,9874.3223,6317.436,8451.6201,7861.6104,6294.5767,8490.4707,9942.832,6319.2466,8741.8037,7810.6064,6299.645,8727.8857,8866.6289,5869.6655,8402.5703,8905.3281,6345.2993,8475.4561,8816.8184,10877.789,7538.3926,8830.0996,8859.8057,9974.3418,8820.7881,8502.96,9204.9072,8879.6904,6895.7803,10623.082,9022.4385,3335.5261,9288.3789,9133.2324,6699.3623,8060.5889,8659.8936,6689.9365,8128.604,9508.5371,6339.335,7079.3242,8281.4766,6315.1128,7091.2539,9786.4141,6716.5713,7198.501,7873.521,6705.4985,7120.6221,8803.749,10428.088,8483.0137,8797.251,9277.5693,10193.604,10537.035,6088.292,9434.6406,7253.6191,6113.7173,9576.2705,10673.313,8279.7393,6480.1548,6975.6318,8275.0225,6484.0625,8952.457,3785.6145,7957.813,8825.2686,8970.8242,7149.1074
Draco_volans,8863.8057,19253.16,10751.186,9011.1523,18911.818,10412.171,8964.0098,14978.719,7221.8813,11943.516,12383.149,5795.4551,11457.413,12382.09,8493.7803,10901.712,12001.444,9218.5898,12245.191,10827.203,7682.3857,11184.355,11435.82,9519.6992,10034.062,5777.6533,7926.2227,8366.7002,19268.883,10718.753,8125.3916,18954.17,10417.377,8268.125,14957.962,7234.251,5516.2354,12418.234,5837.4976,5951.4185,12057.659,8539.29,6733.0762,11927.474,9346.5742,5325.9341,10513.911,7910.1675,6521.207,11340.294,9714.1885,7854.0039,5820.1509,7803.7461,7099.0313,11922.721,4969.73,5462.4668,11164.872,7465.2959,7500.2031,10174.708,6191.0342,8296.8496,10288.083,6155.3354,9273.7617,10282.428,6166.9487,9708.1797,10184.107,6155.4673,10460.392,11867.166,5000.4932,12050.34,11318.168,7172.1143,7238.519,9672.5518,6226.0601,10523.414,9750.7871,6170.6982,8938.6387,6460.7759,10680.566,8815.4063,9737.1797,5745.4512,9065.7021,9810.8906,5706.5073,8488.1543,9744.4199,5706.2637,10384.141,8778.7373,6363.1206,7290.1973,8670.377,6439.1426,10855.26,8297.0303,6854.6719,6914.1748,8288.3633,7119.709,10291.402,8190.5742,8449.6162,7505.5317,8194.1543,8434.1406,10369.929,8211.5381,8769.0664,7491.9688,8198.4707,8813.3721,8969.6133,6798.6431,6797.3555,8908.9961,7384.9229,7190.0391,8687.1006,13177.326,8711.3828,8899.8516,10376.657,11271.307,8836.3398,10053.252,10182.511,9019.5967,8738.0273,11244.102,8927.9053,5364.4336,8522.627,9170.7715,8304.2764,8056.7056,8598.4326,8312.8848,7858.1348,9876.8262,9545.9424,5841.8438,7799.7363,9521.8018,5941.416,10935.413,8904.0459,7500.4238,6668.5796,8730.2744,7670.2354,8797.8789,12148.849,10107.4,8998.1367,10825.79,11642.475,11047.624,8407.0547,9910.2002,6824.73,8337.4473,10053.427,11772.893,10649.369,6487.8179,5589.9619,10501.509,6736.3188,8933.2578,5980.2285,6994.8228,8791.1777,10573.033,7918.9951
Eublepharis_macularius,9097.7617,18007.666,6869.7246,9761.5342,17264.984,6843.8291,9405.7822,12778.154,6145.9624,11144.8,9551.3672,6948.2324,10402.456,9447.4697,8170.853,10011.094,9732.3057,8320.7461,10405.474,7576.1855,6811.3008,10164.794,8151.1489,7813.499,9714.2129,3933.4167,8870.6514,8236.5693,17988.123,6805.1533,7577.4189,17247.906,6803.4131,8201.1123,12775.988,6317.2275,6445.7549,9602.6357,6718.9976,7204.9297,9488.4609,8176.3584,7584.3594,9538.2334,8330.46,7166.1846,7631.1309,6857.5166,7531.6768,8150.8481,7863.9224,8170.0947,3951.7043,8911.957,7918.5991,8797.6748,5679.8525,6934.9399,8364.1035,6835.0107,7809.46,8430.4785,5916.0928,8398.7822,8666.1758,6018.75,9141.6152,8822.1348,6020.0874,9801.1865,8539.7861,5895.2588,9903.582,8827.6387,5676.396,10783.237,8442.4141,6923.8379,7793.3828,7738.5137,6113.7544,9770.7305,7702.2437,6077.9824,8992.1719,5096.6826,10419.932,8861.0156,5940.1494,7204.4014,9401.0186,5885.4404,7091.8105,8340.2715,5861.5552,7119.8428,10228.27,6421.2881,7656.3359,7572.1528,6341.0361,7582.6812,10331.633,6565.7412,7929.7354,7454.9077,6508.833,7858.5322,10152.197,6776.8413,8308.5859,7685.5361,6805.6563,8331.7891,10105.352,7058.2705,8536.6826,7705.0234,6997.5591,8470.5498,8924.9697,5839.4312,8392.8926,8907.4404,6585.5308,8010.4224,8790.0273,11050.522,7620.7104,8913.8936,9081.2734,9306.0254,8877.4521,8641.2578,8625.9883,8973.5811,6600.2905,10454.753,8952.7051,3858.0691,9724.2285,9099.2227,6759.4375,7801.6465,8593.9922,6739.4854,7750.1558,9996.752,6206.0542,7264.1328,7745.5967,6175.8335,7267.29,9431.709,6525.5288,7219.1475,8293.1787,6572.3599,7218.5942,8822.9609,10501.365,8692.2178,8942.0352,9688.3486,9455.3418,10504.812,7181.4268,9400.3008,7308.2793,7122.6333,9335.1895,10353.98,8298.7969,6412.8945,7275.3589,8319.6494,6438.3838,8948.2891,4089.8516,8258.0039,8829.2109,8830.8486,6784.5723
